,0,1,2,3,4,5
13600,1040721,"Wincash Apolo Gold & Energy, Inc.",10-Q,2018-02-15,edgar/data/1040721/0001640334-18-000349.txt,edgar/data/1040721/0001640334-18-000349-index.html
13850,1041368,RIVERVIEW BANCORP INC,10-Q,2018-02-08,edgar/data/1041368/0000939057-18-000053.txt,edgar/data/1041368/0000939057-18-000053-index.html
13861,1041514,NET 1 UEPS TECHNOLOGIES INC,10-Q,2018-02-08,edgar/data/1041514/0001062993-18-000506.txt,edgar/data/1041514/0001062993-18-000506-index.html
14040,1041803,PRICESMART INC,10-Q,2018-01-04,edgar/data/1041803/0001041803-18-000008.txt,edgar/data/1041803/0001041803-18-000008-index.html
15184,1045742,LIVE VENTURES Inc,10-Q,2018-02-14,edgar/data/1045742/0001683168-18-000419.txt,edgar/data/1045742/0001683168-18-000419-index.html
15236,1045942,"Track Group, Inc.",10-Q,2018-02-08,edgar/data/1045942/0001654954-18-001241.txt,edgar/data/1045942/0001654954-18-001241-index.html
15304,1046050,TIMBERLAND BANCORP INC,10-Q,2018-02-08,edgar/data/1046050/0000939057-18-000051.txt,edgar/data/1046050/0000939057-18-000051-index.html
15966,104819,WASHINGTON GAS LIGHT CO,10-Q,2018-02-08,edgar/data/104819/0001103601-18-000007.txt,edgar/data/104819/0001103601-18-000007-index.html
15968,1048268,"IES Holdings, Inc.",10-Q,2018-02-06,edgar/data/1048268/0001193125-18-033325.txt,edgar/data/1048268/0001193125-18-033325-index.html
16191,1048695,F5 NETWORKS INC,10-Q,2018-02-02,edgar/data/1048695/0001048695-18-000005.txt,edgar/data/1048695/0001048695-18-000005-index.html
16382,1048911,FEDEX CORP,10-Q,2018-03-21,edgar/data/1048911/0001564590-18-006410.txt,edgar/data/1048911/0001564590-18-006410-index.html
16433,104897,"WSI INDUSTRIES, INC.",10-Q,2018-03-21,edgar/data/104897/0001493152-18-003722.txt,edgar/data/104897/0001493152-18-003722-index.html
16541,1049521,MERCURY SYSTEMS INC,10-Q,2018-02-02,edgar/data/1049521/0001049521-18-000007.txt,edgar/data/1049521/0001049521-18-000007-index.html
17037,105132,WD 40 CO,10-Q,2018-01-09,edgar/data/105132/0000105132-18-000008.txt,edgar/data/105132/0000105132-18-000008-index.html
18890,1053369,ELITE PHARMACEUTICALS INC /NV/,10-Q,2018-02-09,edgar/data/1053369/0001144204-18-006977.txt,edgar/data/1053369/0001144204-18-006977-index.html
19817,1056757,SEYCHELLE ENVIRONMENTAL TECHNOLOGIES INC /CA,10-Q,2018-01-12,edgar/data/1056757/0001079974-18-000014.txt,edgar/data/1056757/0001079974-18-000014-index.html
19922,1057060,MARINEMAX INC,10-Q,2018-01-31,edgar/data/1057060/0001564590-18-001126.txt,edgar/data/1057060/0001564590-18-001126-index.html
20613,1059272,"bebe stores, inc.",10-Q,2018-02-12,edgar/data/1059272/0001059272-18-000005.txt,edgar/data/1059272/0001059272-18-000005-index.html
20709,1059784,GENEREX BIOTECHNOLOGY CORP,10-Q,2018-03-16,edgar/data/1059784/0001607062-18-000082.txt,edgar/data/1059784/0001607062-18-000082-index.html
20897,106040,WESTERN DIGITAL CORP,10-Q,2018-02-06,edgar/data/106040/0000106040-18-000010.txt,edgar/data/106040/0000106040-18-000010-index.html
21188,1061164,PEREGRINE INDUSTRIES INC,10-Q,2018-02-13,edgar/data/1061164/0001262463-18-000030.txt,edgar/data/1061164/0001262463-18-000030-index.html
22190,1065598,"DigitalTown, Inc.",10-Q,2018-01-16,edgar/data/1065598/0001640334-18-000086.txt,edgar/data/1065598/0001640334-18-000086-index.html
22351,1066194,EGAIN Corp,10-Q,2018-02-13,edgar/data/1066194/0001558370-18-000631.txt,edgar/data/1066194/0001558370-18-000631-index.html
22529,1067294,"CRACKER BARREL OLD COUNTRY STORE, INC",10-Q,2018-02-20,edgar/data/1067294/0001140361-18-008955.txt,edgar/data/1067294/0001140361-18-008955-index.html
22697,1067873,AS-IP TECH INC,10-Q,2018-02-05,edgar/data/1067873/0001393905-18-000037.txt,edgar/data/1067873/0001393905-18-000037-index.html
22698,1067873,AS-IP TECH INC,10-Q,2018-02-27,edgar/data/1067873/0001393905-18-000084.txt,edgar/data/1067873/0001393905-18-000084-index.html
22984,1069533,RGC RESOURCES INC,10-Q,2018-02-08,edgar/data/1069533/0001069533-18-000007.txt,edgar/data/1069533/0001069533-18-000007-index.html
23078,1069899,PHIBRO ANIMAL HEALTH CORP,10-Q,2018-02-05,edgar/data/1069899/0001144204-18-005712.txt,edgar/data/1069899/0001144204-18-005712-index.html
23401,1070524,GREENE COUNTY BANCORP INC,10-Q,2018-02-14,edgar/data/1070524/0001140361-18-008360.txt,edgar/data/1070524/0001140361-18-008360-index.html
23629,107140,"WILEY JOHN & SONS, INC.",10-Q,2018-03-07,edgar/data/107140/0000107140-18-000009.txt,edgar/data/107140/0000107140-18-000009-index.html
23751,1071840,"SolarWindow Technologies, Inc.",10-Q,2018-01-16,edgar/data/1071840/0001477932-18-000210.txt,edgar/data/1071840/0001477932-18-000210-index.html
23983,1073349,BOTTOMLINE TECHNOLOGIES INC /DE/,10-Q,2018-02-08,edgar/data/1073349/0001193125-18-035698.txt,edgar/data/1073349/0001193125-18-035698-index.html
24104,1073748,YUMMIES INC,10-Q,2018-02-07,edgar/data/1073748/0001096906-18-000073.txt,edgar/data/1073748/0001096906-18-000073-index.html
24327,1074828,VISUALANT INC,10-Q,2018-02-14,edgar/data/1074828/0001654954-18-001543.txt,edgar/data/1074828/0001654954-18-001543-index.html
24342,1074871,"Modular Medical, Inc.",10-Q,2018-02-14,edgar/data/1074871/0001019056-18-000341.txt,edgar/data/1074871/0001019056-18-000341-index.html
24611,1076682,"POLARITYTE, INC.",10-Q,2018-03-19,edgar/data/1076682/0001493152-18-003575.txt,edgar/data/1076682/0001493152-18-003575-index.html
24648,107687,WINNEBAGO INDUSTRIES INC,10-Q,2018-03-22,edgar/data/107687/0000107687-18-000011.txt,edgar/data/107687/0000107687-18-000011-index.html
24880,1078037,"REMEDENT, INC.",10-Q,2018-02-14,edgar/data/1078037/0001144204-18-008964.txt,edgar/data/1078037/0001144204-18-008964-index.html
24895,1078075,NETSCOUT SYSTEMS INC,10-Q,2018-02-01,edgar/data/1078075/0001628280-18-000848.txt,edgar/data/1078075/0001628280-18-000848-index.html
24974,1078271,EXTREME NETWORKS INC,10-Q,2018-02-08,edgar/data/1078271/0001564590-18-001677.txt,edgar/data/1078271/0001564590-18-001677-index.html
25073,1079297,"Progreen US, Inc.",10-Q,2018-03-26,edgar/data/1079297/0001493152-18-003865.txt,edgar/data/1079297/0001493152-18-003865-index.html
25121,10795,BECTON DICKINSON & CO,10-Q,2018-02-06,edgar/data/10795/0000010795-18-000008.txt,edgar/data/10795/0000010795-18-000008-index.html
25360,1080448,PATRIOT GOLD CORP,10-Q,2018-03-13,edgar/data/1080448/0001683168-18-000644.txt,edgar/data/1080448/0001683168-18-000644-index.html
25709,1082506,"Great Elm Capital Group, Inc.",10-Q,2018-02-09,edgar/data/1082506/0001564590-18-001760.txt,edgar/data/1082506/0001564590-18-001760-index.html
25755,1082733,"NuSTATE ENERGY HOLDINGS, INC.",10-Q,2018-02-09,edgar/data/1082733/0001493152-18-001698.txt,edgar/data/1082733/0001493152-18-001698-index.html
25838,108312,"Woodward, Inc.",10-Q,2018-01-24,edgar/data/108312/0000108312-18-000007.txt,edgar/data/108312/0000108312-18-000007-index.html
25986,1083490,SUNRISE REAL ESTATE GROUP INC,10-Q,2018-01-03,edgar/data/1083490/0001144204-18-000306.txt,edgar/data/1083490/0001144204-18-000306-index.html
26023,1083706,ENXNET INC,10-Q,2018-02-12,edgar/data/1083706/0001721868-18-000102.txt,edgar/data/1083706/0001721868-18-000102-index.html
26026,1083743,"Flux Power Holdings, Inc.",10-Q,2018-02-13,edgar/data/1083743/0001437749-18-002363.txt,edgar/data/1083743/0001437749-18-002363-index.html
26041,108385,WORLD ACCEPTANCE CORP,10-Q,2018-02-06,edgar/data/108385/0000108385-18-000014.txt,edgar/data/108385/0000108385-18-000014-index.html
26058,1083922,"AuraSource, Inc.",10-Q,2018-02-05,edgar/data/1083922/0001308411-18-000012.txt,edgar/data/1083922/0001308411-18-000012-index.html
26086,1084067,WNC HOUSING TAX CREDIT FUND VI LP SERIES 7,10-Q,2018-02-14,edgar/data/1084067/0001654954-18-001515.txt,edgar/data/1084067/0001654954-18-001515-index.html
26156,1084332,SALON MEDIA GROUP INC,10-Q,2018-02-08,edgar/data/1084332/0001437749-18-002061.txt,edgar/data/1084332/0001437749-18-002061-index.html
26159,1084370,"Blockchain Industries, Inc.",10-Q,2018-03-19,edgar/data/1084370/0001683168-18-000717.txt,edgar/data/1084370/0001683168-18-000717-index.html
26295,1084765,RESOURCES CONNECTION INC,10-Q,2018-01-04,edgar/data/1084765/0001193125-18-002889.txt,edgar/data/1084765/0001193125-18-002889-index.html
26313,1084869,1 800 FLOWERS COM INC,10-Q,2018-02-09,edgar/data/1084869/0001437749-18-002143.txt,edgar/data/1084869/0001437749-18-002143-index.html
26378,108516,WORTHINGTON INDUSTRIES INC,10-Q,2018-01-09,edgar/data/108516/0001193125-18-007209.txt,edgar/data/108516/0001193125-18-007209-index.html
26398,1085243,"VirTra, Inc",10-Q,2018-03-30,edgar/data/1085243/0001493152-18-004277.txt,edgar/data/1085243/0001493152-18-004277-index.html
26838,1087022,ALR TECHNOLOGIES INC.,10-Q,2018-02-23,edgar/data/1087022/0001721868-18-000141.txt,edgar/data/1087022/0001721868-18-000141-index.html
26839,1087022,ALR TECHNOLOGIES INC.,10-Q,2018-02-26,edgar/data/1087022/0001721868-18-000147.txt,edgar/data/1087022/0001721868-18-000147-index.html
26840,1087022,ALR TECHNOLOGIES INC.,10-Q,2018-02-26,edgar/data/1087022/0001721868-18-000148.txt,edgar/data/1087022/0001721868-18-000148-index.html
