"X","X0","X1","X2","X3","X4","X5"
146935,1557340,"Optec International, Inc.","10-Q","2018-03-21","edgar/data/1557340/0001079973-18-000184.txt","edgar/data/1557340/0001079973-18-000184-index.html"
147059,1557668,"Wishbone Pet Products Inc.","10-Q","2018-03-14","edgar/data/1557668/0001493152-18-003353.txt","edgar/data/1557668/0001493152-18-003353-index.html"
147154,1557798,"Tianci International, Inc.","10-Q","2018-03-15","edgar/data/1557798/0001683168-18-000676.txt","edgar/data/1557798/0001683168-18-000676-index.html"
148104,1560905,"Geo Point Resources, Inc.","10-Q","2018-02-20","edgar/data/1560905/0001548123-18-000022.txt","edgar/data/1560905/0001548123-18-000022-index.html"
149408,1564708,"NEWS CORP","10-Q","2018-02-09","edgar/data/1564708/0001193125-18-036975.txt","edgar/data/1564708/0001193125-18-036975-index.html"
149428,1564709,"Truett-Hurst, Inc.","10-Q","2018-02-14","edgar/data/1564709/0001564590-18-002049.txt","edgar/data/1564709/0001564590-18-002049-index.html"
150273,1567098,"Luckycom Pharmaceuticals Inc.","10-Q","2018-02-12","edgar/data/1567098/0001493152-18-001784.txt","edgar/data/1567098/0001493152-18-001784-index.html"
150539,1567802,"Perkins Oil & Gas, Inc.","10-Q","2018-02-09","edgar/data/1567802/0001640334-18-000255.txt","edgar/data/1567802/0001640334-18-000255-index.html"
151045,1568969,"APPYEA, INC","10-Q","2018-02-20","edgar/data/1568969/0001640334-18-000360.txt","edgar/data/1568969/0001640334-18-000360-index.html"
151268,1569568,"BIGFOOT PROJECT INVESTMENTS INC","10-Q","2018-03-26","edgar/data/1569568/0001493152-18-003859.txt","edgar/data/1569568/0001493152-18-003859-index.html"
151436,1570132,"ANVI GLOBAL HOLDINGS, INC.","10-Q","2018-01-12","edgar/data/1570132/0001553350-18-000049.txt","edgar/data/1570132/0001553350-18-000049-index.html"
151982,1571804,"GREEN VISION BIOTECHNOLOGY CORP.","10-Q","2018-02-13","edgar/data/1571804/0001640334-18-000282.txt","edgar/data/1571804/0001640334-18-000282-index.html"
153239,1575295,"COSMO VENTURES INC","10-Q","2018-02-14","edgar/data/1575295/0001477932-18-000833.txt","edgar/data/1575295/0001477932-18-000833-index.html"
153254,1575345,"BLACK CACTUS GLOBAL, INC.","10-Q","2018-03-26","edgar/data/1575345/0001161697-18-000150.txt","edgar/data/1575345/0001161697-18-000150-index.html"
153441,1575659,"Holly Brothers Pictures, Inc.","10-Q","2018-01-29","edgar/data/1575659/0001393905-18-000024.txt","edgar/data/1575659/0001393905-18-000024-index.html"
154055,1576724,"Vilacto Bio Inc.","10-Q","2018-02-14","edgar/data/1576724/0001663577-18-000074.txt","edgar/data/1576724/0001663577-18-000074-index.html"
154077,1576778,"UBL Interactive,Inc.","10-Q","2018-02-26","edgar/data/1576778/0001477932-18-001023.txt","edgar/data/1576778/0001477932-18-001023-index.html"
154127,1576873,"Oroplata Resources, Inc.","10-Q","2018-02-27","edgar/data/1576873/0001078782-18-000234.txt","edgar/data/1576873/0001078782-18-000234-index.html"
154193,1576942,"Stitch Fix, Inc.","10-Q","2018-03-13","edgar/data/1576942/0001564590-18-005480.txt","edgar/data/1576942/0001564590-18-005480-index.html"
154259,1577134,"Terra Income Fund 6, Inc.","10-Q","2018-02-08","edgar/data/1577134/0001577134-18-000005.txt","edgar/data/1577134/0001577134-18-000005-index.html"
154434,1577445,"Intellisense Solutions Inc.","10-Q","2018-02-08","edgar/data/1577445/0001477932-18-000682.txt","edgar/data/1577445/0001477932-18-000682-index.html"
154507,1577603,"Delanco Bancorp, Inc.","10-Q","2018-02-14","edgar/data/1577603/0001437749-18-002469.txt","edgar/data/1577603/0001437749-18-002469-index.html"
154547,1577791,"Oaktree Strategic Income Corp","10-Q","2018-02-09","edgar/data/1577791/0001577791-18-000003.txt","edgar/data/1577791/0001577791-18-000003-index.html"
154571,1577882,"UA Granite Corp","10-Q","2018-02-21","edgar/data/1577882/0001594062-18-000040.txt","edgar/data/1577882/0001594062-18-000040-index.html"
154572,1577882,"UA Granite Corp","10-Q","2018-02-21","edgar/data/1577882/0001594062-18-000042.txt","edgar/data/1577882/0001594062-18-000042-index.html"
154580,1577916,"Premier, Inc.","10-Q","2018-02-06","edgar/data/1577916/0001577916-18-000005.txt","edgar/data/1577916/0001577916-18-000005-index.html"
154761,1578348,"CM Finance Inc","10-Q","2018-02-07","edgar/data/1578348/0001398344-18-001685.txt","edgar/data/1578348/0001398344-18-001685-index.html"
154835,1578523,"Image International Group, Inc.","10-Q","2018-02-15","edgar/data/1578523/0001493152-18-002214.txt","edgar/data/1578523/0001493152-18-002214-index.html"
154952,1578776,"PRUDENTIAL BANCORP, INC.","10-Q","2018-02-09","edgar/data/1578776/0001144204-18-006925.txt","edgar/data/1578776/0001144204-18-006925-index.html"
